GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poseiden-skeleton,com.nnk.springboot.controllers,LoginController,41,6,0,0,12,3,3,1,3,1
poseiden-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
poseiden-skeleton,com.nnk.springboot.controllers,CurveController,73,6,4,0,18,3,8,1,6,1
poseiden-skeleton,com.nnk.springboot.controllers,UserController,98,9,4,0,23,4,10,1,8,1
poseiden-skeleton,com.nnk.springboot.controllers,BidListController,54,25,3,1,16,8,6,3,4,3
poseiden-skeleton,com.nnk.springboot.controllers,RatingController,59,25,3,1,15,8,6,3,4,3
poseiden-skeleton,com.nnk.springboot.controllers,TradeController,73,6,4,0,18,3,8,1,6,1
poseiden-skeleton,com.nnk.springboot.controllers,RuleNameController,73,6,4,0,18,3,8,1,6,1
poseiden-skeleton,com.nnk.springboot.services,CustomUserDetailsService,31,6,0,0,7,3,2,1,2,1
poseiden-skeleton,com.nnk.springboot.services,RuleNameService,68,6,0,0,15,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.services,CurvePointService,56,6,0,0,12,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.services,UserService,60,6,0,0,13,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.services,BidListService,56,6,0,0,12,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.services,TradeService,56,6,0,0,12,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.services,RatingService,60,6,0,0,13,3,6,1,6,1
poseiden-skeleton,com.nnk.springboot.config,SecurityConfig,0,114,0,0,0,27,0,8,0,8
poseiden-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
poseiden-skeleton,com.nnk.springboot.domain,Rating,19,34,0,0,8,15,2,10,2,10
poseiden-skeleton,com.nnk.springboot.domain,RuleName,40,33,0,0,15,16,7,9,7,9
poseiden-skeleton,com.nnk.springboot.domain,BidList,142,27,0,0,43,12,38,8,38,8
poseiden-skeleton,com.nnk.springboot.domain,Trade,150,21,0,0,64,10,39,6,39,6
poseiden-skeleton,com.nnk.springboot.domain,User,50,3,0,0,21,2,11,1,11,1
poseiden-skeleton,com.nnk.springboot.domain,CurvePoint,33,24,0,0,14,11,7,7,7,7
